ID,Prediction
1,58.3
2,74.11
3,50.51
4,81.21
5,76.68
6,77.57
7,51.66
8,52.92
9,69.11
10,52.87
11,22.2
12,50.33
13,74.05
14,30.04
15,22.62
16,68.55
17,22.98
18,76.33
19,81.7
20,83.52
21,78.41
22,24.34
23,67.84
24,80.96
25,68.66
26,47.59
27,71.03
28,21.91
29,22.83
30,32.02
31,73.62
32,39.26
33,20.97
34,22.8
35,24.14
36,55.19
37,79.98
38,77.28
39,67.38
40,79.48
41,45.24
42,71.54
43,81.7
44,36.03
45,61.97
46,57.43
47,48.99
48,26.01
49,24.48
50,63.73
51,22.89
52,77.54
53,21.53
54,54.01
55,25.68
56,85.47
57,73.12
58,75.79
59,21.73
60,40.03
61,66.37
62,79.58
63,50.59
64,52.74
65,23.12
66,31.92
67,24.82
68,27.39
69,76.6
70,81.71
71,78.75
72,78.65
73,21.02
74,21.7
75,74.99
76,75.93
77,53.62
78,66.13
79,68.2
80,29.2
81,71.66
82,75.81
83,83.48
84,33.94
85,27.53
86,84.03
87,23.89
88,49.71
89,29.68
90,76.72
91,21.84
92,73.86
93,48.88
94,22.06
95,73.81
96,86.28
97,72.9
98,74.79
99,69.89
100,61.68
101,54.26
102,50.59
103,46.23
104,84.62
105,23.6
106,24.28
107,78.9
108,26.08
109,23.26
110,56.89
111,31.06
112,25.41
113,23.66
114,68.1
115,80.19
116,25.83
117,75.45
118,69.37
119,36.89
120,31.87
121,27.06
122,21.96
123,31.68
124,29.31
125,72.39
126,27.3
127,45.37
128,50.77
129,24.04
130,80.42
131,25.9
132,35.69
133,21.46
134,22.42
135,23.13
136,21.84
137,79.92
138,81.02
