ID,Prediction
1,53
2,54
3,54
4,53
5,54
6,54
7,54
8,54
9,54
10,53
11,54
12,54
13,54
14,54
15,53
16,53
17,54
18,54
19,54
20,54
21,54
22,53
23,54
24,54
25,54
26,54
27,54
28,53
29,54
30,54
31,54
32,53
33,53
34,54
35,54
36,54
37,54
38,54
39,54
40,54
41,54
42,54
43,54
44,53
45,54
46,54
47,54
48,54
49,54
50,54
51,54
52,53
53,54
54,53
55,54
56,54
57,53
58,54
59,53
60,54
61,54
62,53
63,54
64,54
65,54
66,54
67,54
68,54
69,54
70,53
71,53
72,54
73,54
74,54
75,54
76,54
77,54
78,53
79,54
80,54
81,54
82,53
83,53
84,54
85,54
86,54
87,54
88,54
89,53
90,53
91,53
92,54
93,54
94,54
95,54
96,54
97,54
98,54
99,54
100,54
101,54
102,54
103,54
104,54
105,54
106,53
107,54
108,54
109,54
110,54
111,54
112,54
113,54
114,54
115,54
116,54
117,54
118,53
119,54
120,54
121,53
122,54
123,54
124,54
125,54
126,54
127,54
128,53
129,54
130,54
131,54
132,54
133,53
134,54
135,54
136,54
137,54
138,53
