ID,Prediction
1,56
2,16
3,41
4,69
5,47
6,45
7,73
8,42
9,49
10,49
11,93
12,71
13,43
14,55
15,32
16,47
17,41
18,50
19,41
20,73
21,54
22,76
23,50
24,53
25,56
26,41
27,66
28,36
29,45
30,57
31,40
32,37
33,58
34,72
35,53
36,30
37,47
38,64
39,66
40,64
41,63
42,50
43,49
44,63
45,51
46,58
47,68
48,67
49,63
50,51
51,54
52,43
53,55
54,45
55,49
56,48
57,57
58,59
59,41
60,74
61,34
62,69
63,28
64,75
65,27
66,48
67,69
68,48
69,53
70,45
71,45
72,73
73,53
74,55
75,62
76,53
77,48
78,70
79,81
80,79
81,66
82,49
83,50
84,54
85,58
86,48
87,49
88,44
89,60
90,49
91,63
92,49
93,31
94,58
95,36
96,54
97,45
98,37
99,55
100,41
101,66
102,74
103,55
104,65
105,55
106,58
107,54
108,59
109,69
110,49
111,51
112,67
113,25
114,46
115,55
116,43
117,91
118,57
119,51
120,29
121,32
122,57
123,46
124,47
125,57
126,66
127,47
128,60
129,62
130,52
131,44
132,41
133,45
134,31
135,49
136,59
137,27
138,54
