ID,Prediction
1,63
2,45
3,6
4,29
5,10
6,69
7,49
8,45
9,47
10,68
11,44
12,65
13,67
14,42
15,52
16,71
17,60
18,32
19,68
20,21
21,28
22,37
23,44
24,105
25,29
26,58
27,75
28,21
29,72
30,21
31,44
32,69
33,78
34,52
35,59
36,44
37,12
38,38
39,61
40,78
41,32
42,37
43,89
44,67
45,42
46,34
47,65
48,10
49,46
50,53
51,56
52,49
53,58
54,84
55,69
56,67
57,84
58,44
59,9
60,67
61,49
62,55
63,43
64,70
65,55
66,37
67,8
68,56
69,55
70,22
71,83
72,45
73,78
74,23
75,44
76,77
77,24
78,66
79,104
80,33
81,71
82,18
83,71
84,42
85,21
86,15
87,41
88,8
89,53
90,42
91,26
92,3
93,75
94,33
95,57
96,82
97,56
98,24
99,67
100,79
101,70
102,38
103,15
104,73
105,49
106,57
107,51
108,22
109,32
110,52
111,24
112,24
113,31
114,74
115,83
116,42
117,22
118,23
119,22
120,27
121,83
122,80
123,38
124,24
125,52
126,35
127,44
128,47
129,83
130,71
131,74
132,54
133,55
134,51
135,24
136,79
137,65
138,22
